grouping_variable,source_column,group_value,multi_label_grouping,model,n_total,n_diverging,n_high_agreement,subgroup_auroc,status,positive_class,predictor,exploratory,multiple_comparison_adjusted
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,clear_quality_difference,True,Skywork-Reward-Llama-3.1-8B-v0.2,32,6,26,,not computed: fewer than 10 observations in at least one class,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,clear_quality_difference,True,FsfairX-LLaMA3-RM-v0.1,32,6,26,,not computed: fewer than 10 observations in at least one class,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,expertise_or_complexity,True,Skywork-Reward-Llama-3.1-8B-v0.2,52,23,29,0.63568215892053981,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,expertise_or_complexity,True,FsfairX-LLaMA3-RM-v0.1,52,23,29,0.71139430284857574,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,factuality,True,Skywork-Reward-Llama-3.1-8B-v0.2,109,58,51,0.65500338066260988,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,factuality,True,FsfairX-LLaMA3-RM-v0.1,109,58,51,0.70182555780933065,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,format_or_style,True,Skywork-Reward-Llama-3.1-8B-v0.2,70,38,32,0.52384868421052633,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,format_or_style,True,FsfairX-LLaMA3-RM-v0.1,70,38,32,0.62664473684210531,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,instruction_following,True,Skywork-Reward-Llama-3.1-8B-v0.2,58,21,37,0.56241956241956248,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,instruction_following,True,FsfairX-LLaMA3-RM-v0.1,58,21,37,0.60360360360360354,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,refusal_strategy,True,Skywork-Reward-Llama-3.1-8B-v0.2,63,31,32,0.60584677419354838,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,refusal_strategy,True,FsfairX-LLaMA3-RM-v0.1,63,31,32,0.54183467741935487,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,task_ambiguity,True,Skywork-Reward-Llama-3.1-8B-v0.2,36,18,18,0.67746913580246915,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,task_ambiguity,True,FsfairX-LLaMA3-RM-v0.1,36,18,18,0.69444444444444442,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,value_or_subjective_preference,True,Skywork-Reward-Llama-3.1-8B-v0.2,31,20,11,0.59999999999999998,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,value_or_subjective_preference,True,FsfairX-LLaMA3-RM-v0.1,31,20,11,0.65227272727272723,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,verbosity_or_concision,True,Skywork-Reward-Llama-3.1-8B-v0.2,185,98,87,0.5752990851513019,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
disagreement_source,disagreement_source_1|disagreement_source_2|disagreement_source_3,verbosity_or_concision,True,FsfairX-LLaMA3-RM-v0.1,185,98,87,0.65095003518648842,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,brainstorming_or_planning,False,Skywork-Reward-Llama-3.1-8B-v0.2,55,30,25,0.60666666666666669,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,brainstorming_or_planning,False,FsfairX-LLaMA3-RM-v0.1,55,30,25,0.65599999999999992,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,factual_qa,False,Skywork-Reward-Llama-3.1-8B-v0.2,55,25,30,0.64666666666666672,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,factual_qa,False,FsfairX-LLaMA3-RM-v0.1,55,25,30,0.7413333333333334,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,general_advice_or_chat,False,Skywork-Reward-Llama-3.1-8B-v0.2,44,29,15,0.66666666666666663,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,general_advice_or_chat,False,FsfairX-LLaMA3-RM-v0.1,44,29,15,0.73908045977011494,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,medical_or_health,False,Skywork-Reward-Llama-3.1-8B-v0.2,12,5,7,,not computed: fewer than 10 observations in at least one class,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,medical_or_health,False,FsfairX-LLaMA3-RM-v0.1,12,5,7,,not computed: fewer than 10 observations in at least one class,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,reasoning_or_math,False,Skywork-Reward-Llama-3.1-8B-v0.2,51,20,31,0.60967741935483866,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,reasoning_or_math,False,FsfairX-LLaMA3-RM-v0.1,51,20,31,0.51290322580645165,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,safety_or_sensitive,False,Skywork-Reward-Llama-3.1-8B-v0.2,51,23,28,0.65683229813664601,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,safety_or_sensitive,False,FsfairX-LLaMA3-RM-v0.1,51,23,28,0.48136645962732916,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,summarization_or_transformation,False,Skywork-Reward-Llama-3.1-8B-v0.2,8,4,4,,not computed: fewer than 10 observations in at least one class,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,summarization_or_transformation,False,FsfairX-LLaMA3-RM-v0.1,8,4,4,,not computed: fewer than 10 observations in at least one class,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,technical_or_coding,False,Skywork-Reward-Llama-3.1-8B-v0.2,56,28,28,0.52423469387755106,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,technical_or_coding,False,FsfairX-LLaMA3-RM-v0.1,56,28,28,0.72448979591836737,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,writing_or_creative,False,Skywork-Reward-Llama-3.1-8B-v0.2,68,36,32,0.48871527777777773,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
task_scenario,task_scenario,writing_or_creative,False,FsfairX-LLaMA3-RM-v0.1,68,36,32,0.53559027777777768,computed,diverging_id_label == 1,-abs(score_a - score_b),True,False
